occurrenceID,institutionCode,collectionID,collectionCode,catalogNumber,kingdom,phylum,class,order,family,genus,subgenus,specificEpithet,infraspecificEpithet,scientificName,scientificNameAuthorship,taxonRank,dateIdentified,identifiedBy,typeStatus,continent,country,stateProvince,locality,decimalLatitude,decimalLongitude,coordinatePrecision,verbatimElevation,basisOfRecord,eventDate,year,month,day,habitat,fieldNumber,recordedBy,taxonRemarks
1134,LE,,,,,,,,Asteraceae,Anaphalis,,virgata,,Anaphalis virgata,C. B. Clarke,species,01/01/2012,A.N.Sennikov,,Asia,Kyrgyzstan,Batken Region,"near Shohimardon, Kurban-Köl Lake",39.94,71.846,,,HerbariumSpecimen,05/07/1871,1871,7,5,,,O. Fedtschenko,
1135,LE,,,,,,,,Asteraceae,Anaphalis,,virgata,,Anaphalis virgata,C. B. Clarke,species,01/01/2012,A.N.Sennikov,,Asia,Kyrgyzstan,Batken Region,Kanda-Kush near Shohimardan,39.91,71.84,,,HerbariumSpecimen,7/27/1915,1915,7,27,,,V. Drobov,
1136,FRU,,,,,,,,Asteraceae,Anaphalis,,virgata,,Anaphalis virgata,C. B. Clarke,species,01/01/2012,A.N.Sennikov,,Asia,Kyrgyzstan,Batken Region,Ak-Suu,39.91,71.638,,,HerbariumSpecimen,6/27/1974,1974,6,27,,,Aidarova et al.,
1137,FRU,,,,,,,,Asteraceae,Anaphalis,,virgata,,Anaphalis virgata,C. B. Clarke,species,01/01/2012,A.N.Sennikov,,Asia,Kyrgyzstan,Batken Region,right side of Kara-Kazyk River,39.798,71.623,,,HerbariumSpecimen,6/17/1963,1963,6,17,,,Aidarova & Ubukeeva,
1138,TASH,,,,,,,,Asteraceae,Anaphalis,,sarawschanica,,Anaphalis sarawschanica,(C. Winkl.) B. Fedtsch.,species,01/01/2012,A.N.Sennikov,,Asia,Kyrgyzstan,Osh Region,"Alay Range: S side, upper course of Kök-Suu River, drainage basin of Abramov glacier",39.672,71.596,,,HerbariumSpecimen,8/16/1987,1987,8,16,,,V. Nozdryukhin,
1139,FRU,,,,,,,,Asteraceae,Anaphalis,,virgata,,Anaphalis virgata,C. B. Clarke,species,01/01/2012,A.N.Sennikov,,Asia,Kyrgyzstan,Batken Region,Gavian (S of Khaidarken),39.894,71.366,,,HerbariumSpecimen,6/22/1968,1968,6,22,,,Ubukeeva & B. Sultanova,
1140,LE,,,,,,,,Asteraceae,Anaphalis,,racemifera,,Anaphalis racemifera,Franch.,species,01/01/2012,A.N.Sennikov,,Asia,Kyrgyzstan,Jalal-Abad Region,Upper reaches of Chandalash River,42.095,71.297,,,HerbariumSpecimen,8/14/1938,1938,8,14,,828,Pyataeva & Momotov,
1141,LE,,,,,,,,Asteraceae,Anaphalis,,virgata,,Anaphalis virgata,C. B. Clarke,species,01/01/2012,A.N.Sennikov,,Asia,Kyrgyzstan,Batken Region,Katran-Too,40.094,71.27,,,HerbariumSpecimen,7/23/1938,1938,7,23,,,Glybin,
1142,LE,,,,,,,,Asteraceae,Anaphalis,,virgata,,Anaphalis virgata,C. B. Clarke,species,01/01/2012,A.N.Sennikov,,Asia,Kyrgyzstan,Batken Region,Ak-Terek River,39.61,70.966,,,HerbariumSpecimen,7/14/1913,1913,7,14,,1028,Z. von Minkwitz,
1143,LE,,,,,,,,Asteraceae,Anaphalis,,virgata,,Anaphalis virgata,C. B. Clarke,species,01/01/2012,A.N.Sennikov,,Asia,Kyrgyzstan,Batken Region,"Kalay-Mahmud River, Kak-Say",39.698,70.872,,,HerbariumSpecimen,9/15/1975,1975,9,15,,,Aidarova & Sudnitsyna,
