freq	dB(S(2,1))
6.01595000000000013E9	-2.52838039951913007E2
6.01600000000000001E9	-2.52828243499488980E2
6.01604999999999990E9	-2.52818441624977464E2
6.01609999999999978E9	-2.52808634328189452E2
6.01615000000000055E9	-2.52798821608932567E2
6.01619999999999955E9	-2.52789003467009765E2
6.01625000000000032E9	-2.52779179902220985E2
6.01629999999999932E9	-2.52769350914361812E2
6.01635000000000009E9	-2.52759516503223569E2
6.01639999999999997E9	-2.52749676668595047E2
6.01644999999999985E9	-2.52739831410260063E2
6.01649999999999974E9	-2.52729980727998971E2
6.01654999999999962E9	-2.52720124621588260E2
6.01660000000000128E9	-2.52710263090800291E2
6.01665000000000028E9	-2.52700396135403871E2
6.01669999999999927E9	-2.52690523755163898E2
6.01675000000000004E9	-2.52680645949841187E2
6.01680000000000081E9	-2.52670762719193487E2
6.01685000000000070E9	-2.52660874062973750E2
6.01689999999999969E9	-2.52650979980931689E2
6.01694999999999958E9	-2.52641080472812707E2
6.01700000000000035E9	-2.52631175538358743E2
6.01705000000000023E9	-2.52621265177307741E2
6.01710000000000100E9	-2.52611349389393469E2
6.01714999999999911E9	-2.52601428174346898E2
6.01720000000000077E9	-2.52591501531893980E2
6.01724999999999977E9	-2.52581569461757516E2
6.01730000000000054E9	-2.52571631963656129E2
6.01735000000000042E9	-2.52561689037304671E2
6.01740000000000030E9	-2.52551740682414350E2
6.01745000000000019E9	-2.52541786898692333E2
6.01750000000000007E9	-2.52531827685841570E2
6.01754999999999995E9	-2.52521863043562522E2
6.01759999999999984E9	-2.52511892971550278E2
6.01764999999999972E9	-2.52501917469496684E2
6.01769999999999960E9	-2.52491936537090078E2
6.01774999999999949E9	-2.52481950174014225E2
6.01779999999999937E9	-2.52471958379949957E2
6.01785000000000103E9	-2.52461961154573178E2
6.01789999999999914E9	-2.52451958497557438E2
6.01794999999999991E9	-2.52441950408570914E2
6.01799999999999891E9	-2.52431936887278763E2
6.01805000000000057E9	-2.52421917933342277E2
6.01810000000000045E9	-2.52411893546418842E2
6.01814999999999944E9	-2.52401863726161846E2
6.01819999999999933E9	-2.52391828472220947E2
6.01825000000000010E9	-2.52381787784241762E2
6.01830000000000087E9	-2.52371741661867022E2
6.01834999999999987E9	-2.52361690104734349E2
6.01839999999999886E9	-2.52351633112478257E2
6.01844999999999963E9	-2.52341570684729266E2
6.01850000000000041E9	-2.52331502821114118E2
6.01855000000000029E9	-2.52321429521255691E2
6.01860000000000017E9	-2.52311350784772559E2
6.01865000000000006E9	-2.52301266611280628E2
6.01869999999999994E9	-2.52291177000391231E2
6.01874999999999982E9	-2.52281081951711394E2
6.01880000000000059E9	-2.52270981464845301E2
6.01884999999999959E9	-2.52260875539392648E2
6.01890000000000036E9	-2.52250764174949493E2
6.01894999999999936E9	-2.52240647371108206E2
6.01900000000000013E9	-2.52230525127456939E2
6.01905000000000001E9	-2.52220397443580735E2
6.01910000000000078E9	-2.52210264319060196E2
6.01914999999999978E9	-2.52200125753472237E2
6.01919999999999966E9	-2.52189981746389869E2
6.01924999999999955E9	-2.52179832297382500E2
6.01930000000000032E9	-2.52169677406015591E2
6.01935000000000109E9	-2.52159517071850958E2
6.01939999999999920E9	-2.52149351294445845E2
6.01944999999999908E9	-2.52139180073355096E2
6.01950000000000074E9	-2.52129003408128360E2
6.01955000000000062E9	-2.52118821298312357E2
6.01960000000000051E9	-2.52108633743449406E2
6.01964999999999950E9	-2.52098440743078234E2
6.01970000000000027E9	-2.52088242296733833E2
6.01975000000000016E9	-2.52078038403946803E2
6.01980000000000004E9	-2.52067829064245208E2
6.01984999999999992E9	-2.52057614277152187E2
6.01989999999999981E9	-2.52047394042187189E2
6.01994999999999969E9	-2.52037168358866293E2
6.02000000000000046E9	-2.52026937226701220E2
6.02004999999999946E9	-2.52016700645200320E2
6.02010000000000023E9	-2.52006458613867990E2
6.02014999999999922E9	-2.51996211132204095E2
6.02020000000000000E9	-2.51985958199706417E2
6.02024999999999988E9	-2.51975699815867404E2
6.02029999999999976E9	-2.51965435980176089E2
6.02035000000000053E9	-2.51955166692117682E2
6.02039999999999953E9	-2.51944891951173711E2
6.02044999999999941E9	-2.51934611756821880E2
6.02050000000000018E9	-2.51924326108535723E2
6.02055000000000096E9	-2.51914035005785575E2
6.02059999999999995E9	-2.51903738448037551E2
6.02064999999999895E9	-2.51893436434753992E2
6.02069999999999972E9	-2.51883128965393599E2
6.02075000000000049E9	-2.51872816039410763E2
6.02080000000000037E9	-2.51862497656256723E2
6.02085000000000026E9	-2.51852173815378499E2
6.02089999999999925E9	-2.51841844516219115E2
6.02095000000000091E9	-2.51831509758218619E2
6.02099999999999991E9	-2.51821169540812440E2
6.02105000000000068E9	-2.51810823863432232E2
6.02109999999999967E9	-2.51800472725506364E2
6.02115000000000045E9	-2.51790116126458807E2
6.02120000000000033E9	-2.51779754065710293E2
6.02125000000000021E9	-2.51769386542677021E2
